index	year	month	location	news
28421	2016	7	india	The Government on July 11 approved the formation of a unique Bastariya Battalion in the Central Reserve Police Force CRPF comprised solely of local men from Scheduled Tribes ST to bolster the fight against Communist Party of India Maoist CPI Maoist in Chhattisgarh reports The Times of India The move could dull the appeal of Maoists among disaffected unemployed youth of the state A special recruitment drive will be started in four districts of the region Sukma Dantewada Narayanpur and Bijapur in a few days with an aim to find 744 recruits To give aspirants a fair chance the government has decided to relax the physical standards for induction since the locals who are shorter have been known to lose out to taller and better built candidates from other states in similar recruitment exercises It was proposed to tweak the physical standards so that the locals can have jobs and do not get attracted towards Naxalism said a senior government official
29031	2016	8	india	A 48 hour state wide general strike has been called from midnight of August 18 in protest against the arrest of former Convenor of Joint Committee on Inner Line Permit System JCILPS Khomdram Ratan reports The Assam Tribune The strike was called by Joint Action Committee JAC constituted against declaration of former JCILPS Convenor Khomdram Ratan as a wanted man Co convenor of JAC Kshetrimayum Thoiba made an announcement in this regard at a hurriedly called press conference in Imphal on August 18 In the meantime Khomdram Ratan former Convenor of JCILPS who was declared a wanted man with a cash reward of INR 500 000 to anyone who can provide information leading to his arrest on charges of “indulging in prejudicial activities against the State” was produced before the court on August 18 and remanded in judicial custody till August 26 On August 17 Ratan came out of hiding and took part in the ongoing relay hunger strike here demanding introduction of Inner Line Permit ILP system in Manipur However Police commandos arrested him
29673	2016	9	india	One more soldier who was injured in the Uri attack succumbed to his injuries early on September 30 today taking the toll to 19 reports The Times of India The soldier was undergoing treatment at Army s Research and Referral Hospital He succumbed to his injuries Defence sources said Earlier South Asia Terrorism Portal SATP reported 18 Army personnel were killed when fidayeen suicide squad militants attacked an Army infantry battalion in Uri area in Baramulla District of Jammu and Kashmir on September 18 2016 At least four militants were also killed in the encounter
29407	2016	9	india	Twopersons were killed and over 100 injured as protesters defied curfew at over 90 places across Jammu and Kashmir on Eidul Adha on September 13 leading to massive clashes despite Security Forces SFs taking assistance of drones and helicopters at many places reports Daily Excelsior Authorities imposed curfew in entire Kashmir valley on Eid to prevent assembly of people in prayer grounds and major Masjids across the Valley in view of separatists call for march to the United Nations Military Observers office in Srinagar on September 13 Despite tough measures people defied curfew at over 90 places across Kashmir forcing SFs to fire tear smoke pellets chilly grenades to foil these protests A protester was killed as clashes broke out between SFs and protesters in Bandipora District One Mustafa Mir 22 son of Hameed Mir of Dachigam village of Bandipora was hit by a tear smoke shell as SFs fired tear smoke and pellets to disperse the protesters Mir was declared brought dead at the hospital Clashes broke out in Bandipora after SFs prevented people from marching towards Eidgah where they were planning to offer prayers Several protesters were injured in pellet and tear smoke firing A protester Shabir Ahmad son of Mohammad Yousuf resident of Nagbal village of Imam Sahib area was killed in clashes between SFs and protesters in Shopian District of South Kashmir In the meanwhile six people were injured in the clashes that broke out in Shopian and they were rushed to Primary Health Centre PHC Harmain Around 20 protesters were injured at Memandar village in Shopian Reports said that clashes broke out at Memandar after protesters pelted stones at SFs who fired tear smoke and pellets to disperse them At least 20 protesters were injured in clashes between SFs and protesters in Dooru area of Anantnag in Anantnag District Clashes erupted after SFs tried to foil a protest march in Dooru area Over a dozen protesters were injured in Bijbehara area of Anantnag District after SFs barred people from offering Eid prayers at Eidgah At least eight protesters were injured in clashes with SFs in Kulgam District Reports said that clashes erupted after people defied curfew in Kulgam town SFs fired tear smoke and pellets to disperse the protesters in which 8 persons suffered pellet injuries At least 12 persons including a woman were injured after SFs allegedly barged into homes in Zallura village of Sopore in North Kashmir and beat up the inmates Reports said that the injured included an 80 year old woman Saja Begum In the meantime a Police spokesman said that in view of the UNO march call of some groups curfew and restrictions were imposed in major parts of the Valley to avoid loss of life and property “Forty four incidents of stone pelting were reported from across the Valley till filing of this report Despite serious provocations by the stone pelting mobs the police and security force personnel exhibited maximum restraint” the spokesman said
31920	2016	8	pakistan	As result of combing operation in parts of Rawalpindi District in Punjab on August 11 six terrorists inclusive of two most wanted commanders were arrested reports The News According to Inter Services Public Relations ISPR during the operations carried out in Gujar Khan and Kallar Syedan areas the raiders also recovered arms and ammunition including prepared Improvised Electronic Devices IEDs
29932	2016	10	india	Pointing out that Japan too was a victim of terrorism Japanese ambassador Kenji Hiramatsu on October 17 said his country condemned the Uri terror attack reports indialivetoday com He underlined the importance of sharing of information and intelligence between the two countries to fight terrorism “We strongly condemn the terrorist attack on the Indian Army base in Uri We extend our sincere condolences to the families of those who lost their lives and extend our heartfelt empathy to the injured ” Hiramatsu stated Hiramatsu said Japan was not immune to terrorism “Japan is also a victim of some terrorist attacks For example last July seven Japanese were killed along with a young lady from India in the Dhaka attack ” the diplomat said He was referring to the July 1 terror attack on the Holey Artisan Bakery in Dhaka in which 29 people were killed “That’s why Japan and India should collaborate to fight terrorism by sharing information and intelligence ” he added
27596	2016	5	india	Police on May 12 rescued Rohtash Sharmaowner of Kherem tea garden and factory Bordumsa in Changlang Districtwho was abducted by unidentified gunmen on May 10 night from the Old Champu area in Changlang District reports The Telegraph Amit Sharma Superintendent of Police SP Changlang said the Police were combing the dense jungle where they found Sharma It is not known who the abductors were as they fled before the police arrived As Sharma had been blindfolded he could only say for sure that there was one person Sharma said The officer said Sharma had denied receiving any extortion note and the reason for the abduction is still unknown He is still being questioned
27281	2016	4	india	The CPI Maoist has claimed responsibility for the killing of seven Central Reserve Police Force CRPF personnel in an IED explosion in Dantewada District on March 30 reports The Hindu “The Malewara attack on the CRPF was a fitting reply to the exploitative Modi Raman Singh regime and revenge for our party’s martyrs The attack was a part of our PLGA’s People’s Liberation Guerrilla Army response to the government of Chhattisgarh’s mission 2016 against us ” said a statement issued by the south sub zonal bureau of the CPI Maoist
26128	2016	1	india	A Sessions Court on January 28 convicted two persons for hatching a conspiracy to launch terror strikes at the ONGC headquarters and other public places here in 2010 reports Business Standard The court has convicted Abdul Latif and Riyaz Ali under different sections of IPC and the Unlawful Activities Prevention Act UAPA The court is expected to pronounce quantum of sentence tomorrow special public prosecutor Rohini Salian Latif and Ali were arrested by ATS on March 14 2010 from Central Mumbai The duo were in touch with a person believed to be their handler based in Pakistan and used to address him as uncle They were directed by the uncle to recruit young boys and to send them to Pakistan for training and carrying out terror activities in India They were booked under different sections of UAPA and under sections 436 mischief by fire or explosive substance with intent to destroy house etc and 120 B criminal conspiracy of Indian Penal Code IPC
25926	2016	1	india	Three Afghan Policemen were killed and two others were injured when a suicide bomber blew himself up 200 meters away from the Indian consulate in Jalalabad on January 13 today reports Times of India Afghan Security Forces SFs later exchanged fire with gunmen barricaded in a house near the Pakistan consulate nearby All Indians are reported to be safe
26518	2016	2	india	The Reformation faction of National Socialist Council of Nagaland NSCN R on February 23 stated that any solution to the Indo Naga political issue “must not leave the Nagas of Tirap Changlang Longding TCL districts” of Arunachal Pradesh behind reports Morung Express A press note from the Ministry of Information Publicity MIP of the NSCN R while affirming that the Nagas are “one people one nation ” lamented that Nagas in these three Districts presently in Arunachal Pradesh have suffered immensely because of the conflict “Many families has been affected many lives had been lost Many have become widow and many lost their children some their brother and some their sisters as well The conflict has not only dwarfed the economy of the people but it has left a long trail of affects on the lives of every household ” it stated The NSCN R therefore said that no attempt to either neglect or overlook the Nagas in these areas should be made Any solution it urged should be inclusive “to make it not only lasting but also more comprehensive and the same golden rule must be applied in all the Naga areas including the areas presently under Arunachal Pradesh ” It lamented that the peace talks have dragged on for more than two decades “due to Delhi’s dilly dally tactics coupled with non unanimity among the Naga groups ” This it stated is “too long a time for the people to be kept waiting and also natural for anybody’s patience to wither out ” The parties involved in the peace process are also certainly and obviously talking for the good of the Nagas yet to make it more meaningful and sustainable the Government of India must also rope in other stakeholder’s the NSCN R said “This will leave a very little or no room for the others to beat the drums later ” it viewed
26331	2016	2	india	Two Special Task Force STF personnel posing as suppliers of AK 47 assault rifles have succeeded in arresting a Communist Party of India Maoist CPI Maoist self styled ‘sub zonal commander’ identified as Jitendra aliasTiger in Simdega District reports The Times of India on February 10 He belonged to the Aurangabad Bhojpur sub zone of the CPI Maoist Giving details STF Superintendent of Police SP Shivdeep Lande said A team of special intelligence group SIG of STF went to Simdega posing as suppliers of AK 47 and managed to trap Jitendra alias Tiger The STF has handed him over to the local Police Station and Bihar Police will take him on transit remand
31796	2016	6	pakistan	Unidentified assailants shot dead a member of Afghan Taliban on Nasir Bagh Road in Peshawar on June 30 reports Daily Times Sources said that the deceased Qari Said Murad was a member of Afghan Taliban’s military commission for eastern Nangarhar province The deceased was running a local seminary near to his residence The assailants fled the scene after the crime
31418	2016	4	pakistan	Unidentified militant shot dead an Internally Displaced Person IDP identified as Musa Khan from North Waziristan Agency of Federally Administered Tribal Areas FATA in Tanzeem Bazaar within the limits of Basiakhel Police Station in Bannu District on April 5 reports The News
25043	2016	1	bangladesh	Three cadres of Purbo Banglar Communist Party PBCP were executed at Jessore Central Jail on January 7 for killing Jatiya Samajtantrik Dal JSD leader Kazi Aref Ahmed and four other JSD activists in Daulatpur sub District of Kushtia District on February 16 1999 reports The Daily Star Safayat Hossain Habib and Anwar Hossain Anu were hanged at 11 03 pm while Rashedul Islam Jhantu at 11 45 pm inside the jail
30532	2016	11	india	Army in the night of November 30 declared that operation inside 166 Artillery Unit at Nagrota in Jammu District was over and that all three terrorists who had attacked the camp have been eliminated reports Daily Excelsior Documents recovered by the Army from the possession of three slain militants revealed that they were part of ‘Afzal Guru Brigade’ of Jaish e Mohammed JeM outfit Though their identity hasn’t been established so far they were believed to be Pakistanis and were in possession of huge quantity of arms ammunition and explosive material
32911	2016	10	nepal	13 Mongol Mulbasi Rastriya Force leaders and cadres were arrested along with lethal weapons explosives and several documents from different places reports The Himalayan Times on October 24 The suspects include the least heard of armed group’s chieftain Upendra Gharti Magar who is also the western region in charge Prithivi Narayan Limbu the eastern region in charge and Temdi Sherpa the central region in charge Police identified the arrestees as Upendra Gharti Magar who uses several aliases including Uttam Magar Karna Bahdur Budha Juntara Budha Magar and Upendra Magar Jang of Rukum Prithvi Narayan Limbu of Taplejung Temdi Sherpa aka Dawa aka Nima Chhiri Sherpa of Ramechhap Sachin Palungwa Limbu aka Shashi Limbu of Panchthar Subas Rai aka Subas Chandra Kiranti of Khotang Rabin Shrestha of Sindhupalchok Ban Bahadur Syanbo of Sindhupalchok l Ajaya Tamang of Sindhupalchok Ram Bahadur Budha Magar of Rolpa Lok Bahadur Budha Magar of Rolpa Chandra Bir Gharti Magar of Rolpa Dujman Gharti Magar of Rolpa and Jog Bahadur Gharti Magar of Ropla
26516	2016	2	india	The Border Security Force BSF on February 23 seized a Pakistani boat from Kutch in Gujarat reports Times of India The security personnel recovered a 12 bore gun from the boat However the crew managed to escape
27532	2016	5	india	Two Communist Party of India Maoist CPI Maoist cadres were on May 8 arrested from Bacheli town of Chhattisgarh’s Dantewada District reports The Hindu “The cadres were nabbed when they arrived in Bacheli for conducting a recce of the movement of police and procuring Maoist related materials ” Kirandul Sub Divisional Police Officer SDOP M Z Baig said Those arrested were identified as Budhram Madvi 35 head of Dandakaranya Adivasi Kisan Majdoor Sangthan Head of Dandakaranya Tribal Farmer Labourer Organisation and Kunjam Bheema 28 head of Janatana Sarkar Head of People’s Government wing the SDPO added A Naxal Left Wing Extremist LWE banner pamphlets and other Maoist related material were recovered from them
27147	2016	4	india	A protestor identified as Jehangir Ahmad Wani son of Ghulam ud Din Wani resident of Nagri Drugmulla was hit by a teargas shell at Drugmulla in Kupwara District of Jammu and Kashmir J K during protests on April 13 and succumbed to his injuries later reports Daily Excelsior Subsequently angry protesters set ablaze Police Post Langate and also attacked Police Post Magam Over two dozen civilians were injured in the clashes across Kupwara An unnamed police spokesman said that 110 policemen and two Central Reserve Police Force CRPF troopers were injured in clashes that broke out at several places across Kashmir As reported earlier three persons were killed and six others were injured as Army reportedly opened firing on protesters in Handwara town of Kupwara District in the afternoon of April 12
29504	2016	9	india	A militant was killed in an encounter with Security Forces SFs in Bandipora District on September 22 today reports Daily Excelsior They said troops on specific information about the presence of militants launched a search operation at Aragam village in Bandipora However when the SFs were moving towards a particular area in the village militants hiding there opened fire with automatic weapons SFs also retaliated and in the fire fight a militant was killed The operation is going on … further details are awaited
26576	2016	2	india	Three suspected Communist Party of India Maoist CPI Maoist cadres were arrested after a brief exchange of fire between the Security Forces SFs and the Maoists in Khunti District on February 27 reports Business Standard Personnel of Central Reserve Police Force CRPF and District Police undertook a search operation in the forests near Korba village in Khunti District when they faced a hail of bullets from the Naxalites Left Wing Extremists LWEs Assistant Superintendent of Police ASP Operation P R Mishra said In swift retaliation three of them were arrested while the rest fled he said A carbine a rifle four pistols and Naxal literature were among the materials recovered from the encounter spot he added
26938	2016	3	india	Indian National Security Adviser NSA Ajit Doval met with his US counterpart Susan Rice on March 30 to discuss counter terrorism cooperation amid a smoke and mirror spy spat between India and Pakistan reports The Times of India Doval arrived in Washington D C ahead of PM Narendra Modi s visit here on March 31 today for the Nuclear Security Summit and discussed a raft of issues beyond the primary agenda of the meet National Security Council Spokesman Ned Price said they exchanged views on the prospects for commercial progress this year under the US India civil nuclear cooperation Rice also reiterated US support for India s membership of the Nuclear Suppliers Group NSG and the Missile Technology Control Regime MTCR
33116	2016	2	srilanka	In a joint statement issued by the Sri Lanka and United States US after the first annual US Sri Lanka Partnership Dialogue held on February 26 in Washington D C US has urged the Sri Lankan Government to return remaining lands to rightful owners swiftly reports Daily Mirror The statement said “The United States praised the Government of Sri Lanka for its return of land to the rightful owners and urged that remaining land be returned swiftly ” The statement also stated that the US supports Sri Lanka as it undertakes security sector reforms in line with Sri Lanka’s post conflict requirements
