id,target,source,action,action_type,location,date,country,year,news
23592,"['soldier', 'soldiers']","['militants', 'militants']","['killed', 'injuries', 'fire', 'sniper fire']","['Armed Assault', 'Armed Assault', 'Armed Assault', 'Armed Assault']","['Pak Afghan border', 'Khyber Agency']",['October 3'],pakistan,2017,A soldier was killed and another sustained injuries when militants opened fire on a forces check post in the Rajgal area along the Pak Afghan border of Bara tehsil revenue unit of Khyber Agency in Federally Administered Tribal Areas FATA on October 3 reports Daily Times Two soldiers posted at the checkpoint were targeted with sniper fire from across the border officials said The militants then escaped from the area
23107,['tribesman'],,"['killed', 'roadside bomb', 'blast']","['Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion']",['Mohmand Agency'],['February 22'],pakistan,2017,Meanwhile a tribesman identified as Bahadur Khan was killed in a roadside bomb blast in Dawizai area of Pandyali tehsil revenue unit in Mohmand Agency of on February 22 reports Daily Times
20191,"['Security Forces', 'SFs', 'Central Reserve Police Force', 'CRPF', 'CRPF', 'SFs']","['militants', 'militants', 'militants', 'militants', 'killed']","['fire', 'attack', 'fire', 'gun battle', 'firing', 'suicide attack']","['Armed Assault', 'Armed Assault', 'Armed Assault', 'Armed Assault', 'Armed Assault', 'Bombing/Explosion']","['Bandipora', 'Jammu and Kashmir', 'Bandipora']",['June 5'],india,2017,Four militants were killed in retaliatory fire by Security Forces SFs as they attempted to attack a Central Reserve Police Force CRPF camp at Sumbal in Bandipora District of Jammu and Kashmir J K early on June 5 today reports Daily Excelsior According to The Times of India the heavily armed militants tried to enter the camp of 45 Battalion CRPF at Sumbal in Bandipora at around 3 45am by opening fire at the sentry post The gun battle between the SFs and militants went on till 6 15am Four militants were killed in the retaliatory firing and the suicide attack was foiled the Police official said Their bodies were recovered along with four AK rifles one UBGL Under Barrel Grenade Launcher grenades and hand grenades
17878,"['leader', 'Jatiyo Samajtantrik Dal', 'JSD', 'president']","['unidentified assailants', 'assailants']","['shot', 'death', 'shot', 'stabbed', 'injured']","['Assassination', 'Assassination', 'Assassination', 'Unarmed Assault', 'Assassination']","['Baghanbari Swarighat', 'Old Dhaka', 'Chawkbazar', 'Chawkbazar']",['July 28'],bangladesh,2017,A local leader of Jatiyo Samajtantrik Dal JSD a political party was shot to death by unidentified assailants in Baghanbari Swarighat area in Old Dhaka on July 28 reports The Daily Star The deceased was identified as Manzur Hossain 28 of Keraniganj also president of ward number 28 unit under Lalbagh Thana of Jasad Muradul Islam officer in charge of Chawkbazar Police Station said the assailants picked Manzur up from Chawkbazar area shot and stabbed leaving him critically injured Later Manzur succumbed to his injuries
21194,"['Security Force', 'SF', 'personnel', 'Central Reserve Police Force', 'CRPF', 'Police', 'CRPF', 'personnel', 'Policeman']","['militants', 'Militants']","['injured', 'grenade', 'attack', 'grenade', 'injured', 'grenade']","['Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion']",['Budgam'],['August 14'],india,2017,Four Security Force SF personnel were injured in a grenade attack by militants in Budgam District on August 14 reports Daily Excelsior Militants hurled a grenade at a Road Opening Party ROP of Central Reserve Police Force CRPF and Police at Batpora in Magam area 20 kilometres from Srinagar a Police official said He said three CRPF personnel and one Policeman were injured in the grenade blast
17682,['five storey building'],"['suspected militants', 'suspected militants', 'militant']",['explosives'],['Bombing/Explosion'],"['Sylhet', 'Sylhet']",['March 24'],bangladesh,2017,Police on March 24 cordoned off a five storey building in Sylhet city of Sylhet District where suspected militants are believed to have been holing up with a huge cache of explosives reports The Daily Star Police said that at least two suspected militants a male and a female were inside one of the six apartments on Atia Villa s ground floor Police couldn t enter the building as the militant suspects blocked the entrance to the main building with a refrigerator
24614,"['vehicle', 'candidate']",,"['improvised explosive device', 'IED', 'IED']","['Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion']",['Sarlahi'],['December 4'],nepal,2017,An improvised explosive device IED was detonated on December 4 targeting a vehicle belonging to Narendra Sah an independent candidate for the federal parliament from Sarlahi 3 in Sarlahi District reports Kathmandu Post Sah was heading towards Karmaiya from Hajariya on a jeep Na 2 Cha 2019 when the IED went off near a stream three kilometres from the East West Highway There were no casualties
23512,"['Frontier Corps', 'FC personnel', 'lieutenant colonel', 'others', 'FC personnel', 'others', 'officer', 'FC personnel']",['unidentified militants'],"['martyred', 'injured', 'fire', 'died', 'injured', 'attack', 'firing', 'damaged']","['Assassination', 'Armed Assault', 'Armed Assault', 'Armed Assault', 'Armed Assault', 'Armed Assault', 'Armed Assault', 'Armed Assault']","['Washuk', 'Balochistan']",['September 4'],pakistan,2017,Three Frontier Corps FC personnel including a lieutenant colonel were martyred while three others were injured as unidentified militants opened fire on their convoy in Washuk District of Balochistan in the evening of September 4 reports Dawn Three FC personnel died while three others including an officer were also injured during the attack a Senior District Administration official said adding that the firing also damaged the FC personnel s vehicle
21500,"['person', 'Central Reserve Police Force', 'CRPF', 'personnel', 'CRPF', 'market place', 'persons', 'Traffic Police personnel']",['militants'],"['killed', 'injured', 'grenade', 'grenade', 'exploded', 'injured', 'died']","['Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion']","['Jahangir Chowk', 'Srinagar']",['September 7'],india,2017,One person was killed and 13 others were injured as militants hurled a grenade targeting Central Reserve Police Force CRPF personnel at Jahangir Chowk in Srinagar in the evening of September 7 reports Daily Excelsior The grenade was hurled at the CRPF at busy market place which exploded on the road injuring 14 persons including Traffic Police personnel One of the injured people died later
20799,"['Army convoy', 'army']","['militants', 'militants', 'Terrorists']","['attacked', 'injured', 'fired', 'fire', 'injured']","['Armed Assault', 'Armed Assault', 'Armed Assault', 'Armed Assault', 'Armed Assault']","['Anantnag', 'Jammu and Kashmir']",['July 17'],india,2017,Separately militants on July 17 morning attacked an Army convoy at Bijbehara in Anantnag District of Jammu and Kashmir an army official said adding that a man was injured when the forces fired back reports The Times of India Security Forces SFs have cordoned off the area and launched an operation to track down the militants the official said Terrorists opened fire on the last vehicle of the army convoy near Bijbehara We retaliated and a man was injured in the incident he said
22143,"['Army', 'Line of Control', 'LoC', 'troops']","['unidentified militants', 'militants', 'militants', 'militants']","['infiltration', 'infiltration', 'fire', 'gunfight', 'gunfight']","['Facility/Infrastructure Attack', 'Facility/Infrastructure Attack', 'Armed Assault', 'Armed Assault', 'Armed Assault']","['Uri', 'Baramulla', 'Uri']",['November 5'],india,2017,Two unidentified militants were killed as the Army foiled an infiltration bid along the Line of Control LoC in Uri sector in Baramulla District early on November 5 today reports The Tribune The infiltration bid was foiled in Uri sector when troops noticed suspected movement during the night hours “The group was challenged and militants opened fire triggering a gunfight So far two militants have been killed in the gunfight and the operation is on ” Defence Ministry spokesman Colonel Rajesh Kalia said The identity and the group affiliation of the slain militants could not be established immediately
